LECROYWP804HD,2603,Waveform
Segments,1,SegmentSize,8652
Segment,TrigTime,TimeSinceSegment1
#1,02-Oct-2023 05:41:26,0                 
Time,Ampl
3.076752e+07,-80.436
3.080566e+07,-80.0389
3.084381e+07,-79.5769
3.088196e+07,-79.4878
3.09201e+07,-79.6876
3.095825e+07,-79.6935
3.09964e+07,-79.3172
3.103455e+07,-79.2647
3.107269e+07,-79.058
3.111084e+07,-78.9437
3.114899e+07,-79.2924
3.118713e+07,-78.7344
3.122528e+07,-78.9454
3.126343e+07,-78.6044
3.130157e+07,-78.9195
3.133972e+07,-79.257
3.137787e+07,-78.9934
3.141602e+07,-78.9614
3.145416e+07,-79.1827
3.149231e+07,-78.6231
3.153046e+07,-78.2611
3.15686e+07,-77.8504
3.160675e+07,-78.3468
3.16449e+07,-78.5095
3.168304e+07,-78.4837
3.172119e+07,-78.5697
3.175934e+07,-78.6662
3.179749e+07,-78.4256
3.183563e+07,-77.9154
3.187378e+07,-77.7857
3.191193e+07,-78.0294
3.195007e+07,-78.2883
3.198822e+07,-77.6975
3.202637e+07,-77.6212
3.206451e+07,-77.5369
3.210266e+07,-77.656
3.214081e+07,-77.6462
3.217896e+07,-77.4807
3.22171e+07,-77.5153
3.225525e+07,-77.8455
3.22934e+07,-77.6299
3.233154e+07,-77.2541
3.236969e+07,-77.5216
3.240784e+07,-77.6058
3.244598e+07,-77.1318
3.248413e+07,-77.1528
3.252228e+07,-77.3868
3.256042e+07,-77.4466
3.259857e+07,-77.1199
3.263672e+07,-77.3726
3.267487e+07,-77.1273
3.271301e+07,-76.7616
3.275116e+07,-76.9222
3.278931e+07,-77.1093
3.282745e+07,-76.5502
3.28656e+07,-76.6915
3.290375e+07,-76.377
3.294189e+07,-76.7366
3.298004e+07,-76.6187
3.301819e+07,-76.2953
3.305634e+07,-76.9058
3.309448e+07,-77.1231
3.313263e+07,-76.5077
3.317078e+07,-75.9511
3.320892e+07,-76.2212
3.324707e+07,-75.7575
3.328522e+07,-76.1546
3.332336e+07,-76.6288
3.336151e+07,-76.2474
3.339966e+07,-76.049
3.343781e+07,-76.1149
3.347595e+07,-76.2584
3.35141e+07,-76.3219
3.355225e+07,-76.3068
3.359039e+07,-76.5463
3.362854e+07,-75.9281
3.366669e+07,-76.1863
3.370483e+07,-75.7717
3.374298e+07,-75.8858
3.378113e+07,-75.8144
3.381927e+07,-75.9849
3.385742e+07,-75.6066
3.389557e+07,-75.6759
3.393372e+07,-75.877
3.397186e+07,-76.0477
3.401001e+07,-75.7537
3.404816e+07,-75.601
3.40863e+07,-75.6838
3.412445e+07,-75.6612
3.41626e+07,-75.7142
3.420074e+07,-75.4887
3.423889e+07,-75.8323
3.427704e+07,-75.5931
3.431519e+07,-75.1423
3.435333e+07,-74.672
3.439148e+07,-74.9254
3.442963e+07,-75.1078
3.446777e+07,-75.3213
3.450592e+07,-75.4783
3.454407e+07,-75.2126
3.458221e+07,-74.6843
3.462036e+07,-74.9964
3.465851e+07,-74.9413
3.469666e+07,-75.0321
3.47348e+07,-75.3437
3.477295e+07,-75.3287
3.48111e+07,-75.1614
3.484924e+07,-74.7965
3.488739e+07,-74.8533
3.492554e+07,-74.9772
3.496368e+07,-75.1998
3.500183e+07,-75.2887
3.503998e+07,-74.6144
3.507813e+07,-74.2158
3.511627e+07,-74.4932
3.515442e+07,-75.1814
3.519257e+07,-74.7828
3.523071e+07,-74.8732
